site_id,date,ndvi,mndwi,grvi,rain_mm,air_temp_c,sst_c,salinity_psu,ssh_m
BV,2025-07-01,0.5810952241089586,0.053133339093769674,0.12669331480784113,216.29201211074235,26.34283991870796,29.009463982536992,34.37051908463394,0.06288408482058802
LBI,2025-07-01,0.55491685106751,0.09376120540454215,0.13983008459251728,216.3730313532278,26.342602769395786,29.011209080047784,34.37066504973967,0.06269160494603941
MR,2025-07-01,0.6768070504420671,0.047274382839537374,0.1875251116807186,216.49861487970838,26.342665139785616,29.016222533894346,34.36946233779348,0.062028407573596844
BV,2025-08-01,0.12400381498820733,0.056424142069570075,-0.007099285913358086,86.43083690176175,26.94901390261671,29.521462527285962,34.8233925913282,0.07250055618942741
LBI,2025-08-01,0.3911834733868107,-0.07262200839887274,0.033046922601010886,86.52138042862946,26.948550341080036,29.52195698924731,34.82583722744536,0.07242023455621922
MR,2025-08-01,0.756186056814974,-0.12755072641285875,0.20812692358862506,86.71755062134372,26.947794383946178,29.522145862552595,34.832993382558776,0.07214220924541405
BV,2025-09-01,0.7409884221709887,-0.1266726974357896,0.21609322909958686,152.73913112317408,27.84116415783324,29.61963408521304,35.55298334823371,0.0883514592673052
LBI,2025-09-01,0.7054682131365828,-0.15869547578088947,0.19267471461206798,152.23112615890255,27.841363662198088,29.61842222222222,35.552297298341756,0.08830354581628226
MR,2025-09-01,0.7642236613202191,-0.14503673925458474,0.22022246290902484,150.9675642638967,27.842792200286457,29.61202898550725,35.54968660164878,0.08813060050553105
BV,2025-10-01,0.7126227009242737,-0.1033810322590051,0.20247565056053793,63.80411481614756,27.93333895958509,29.432039776861515,35.47897394209946,0.09179541699707829
LBI,2025-10-01,0.6753809712878872,-0.1270241627492909,0.1816261897946032,63.572812875217885,27.93425528041189,29.430771804062125,35.478868479517054,0.09177327481782542
MR,2025-10-01,0.7505192593380744,-0.12275361199443448,0.2084395325278938,62.89123400091835,27.937513136568878,29.424132772323517,35.478124428794025,0.09169000220907189
BV,2025-11-01,0.4525103322828687,-0.04424057113813835,0.09167673254781088,146.8855002157079,26.664767454870017,28.770696741854643,35.69751041787893,0.05493614515837501
LBI,2025-11-01,0.31621489464079283,0.07134220447396437,0.09025379186095707,146.83655336600702,26.665030075399304,28.770330864197533,35.69826409959918,0.054952702631728835
MR,2025-11-01,0.3181098769012006,0.03138334993342449,0.059018985308892755,146.79713778660843,26.66658381372045,28.76740096618358,35.70012348234966,0.055003214756407126
BV,2025-12-01,0.6572021922108869,-0.08203581104311183,0.15555613603059668,181.20687422606832,26.087761744052955,28.090700945913177,35.53697800512758,0.04987451159220967
LBI,2025-12-01,0.6944092779566279,-0.10681531856019934,0.19322936539118393,180.10090819441078,26.087691288231063,28.090984468339308,35.53796829940756,0.049811621537778225
MR,2025-12-01,0.7665900636397186,-0.09092084947978653,0.21845933263824313,177.12255630527721,26.088653474791943,28.091575502571295,35.54060814143475,0.0495886189547274
